Set,Plant,Strain,Leaf,Rep,PLACL,pycnidiaPerCm2Leaf,pycnidiaPerCm2Lesion
set4,PyrSep_217,mix4,3,R1,6.78278557,1.305591043,19.24859675
set4,PyrSep_217,mix3,1,R2,15.731948103,2.647156854,16.826630982
set4,PyrSep_217,mix3,2,R2,11.625272936,3.477087039,29.909723908
set4,PyrSep_217,mix3,3,R2,0,0,0
set4,PyrSep_217,mix2,1,R3,3.467266438,1.20311161,34.69913926
set4,PyrSep_217,mix2,2,R3,3.294754443,0.889310474,26.99170726
set4,PyrSep_217,mix2,3,R3,7.706095753999999,3.430199005,44.51280018
set4,PyrSep_217,mix1,1,R4,54.69942748,14.71102086,26.89428672
set4,PyrSep_217,mix1,2,R4,47.07716282,13.70340851,29.10839925
set4,PyrSep_217,mix1,3,R4,74.30808426,40.96398779,55.12722902
set2,PyrSep_218,mix2,1,R1,22.97860469,12.64083003,55.01130377
set2,PyrSep_218,mix2,2,R1,20.06928343,5.127851822,25.55074694
set2,PyrSep_218,mix2,3,R1,49.56371247,34.14727126,68.89570931
set2,PyrSep_218,mix1,1,R2,33.945844152,9.569806311,28.191392937
set2,PyrSep_218,mix1,2,R2,12.813497868,0.921263816,7.189791778
set2,PyrSep_218,mix1,3,R2,40.14740769,13.653893626,34.009402878
set2,PyrSep_218,mix4,1,R3,21.38412158,11.84647494,55.39846422
set2,PyrSep_218,mix4,2,R3,33.37668375,7.26393163,21.7634912
set2,PyrSep_218,mix4,3,R3,8.811749942,1.580749816,17.93911342
set2,PyrSep_218,mix3,1,R4,0,0,0
set2,PyrSep_218,mix3,2,R4,0,0,0
set2,PyrSep_218,mix3,3,R4,0,0,0
set4,PyrSep_219,mix4,1,R1,65.96667274,34.02336103,51.57659104
set4,PyrSep_219,mix4,3,R1,93.67161453,65.40217822,69.82070134
set4,PyrSep_219,mix3,1,R2,96.619645161,51.570611137,53.374871178
set4,PyrSep_219,mix3,2,R2,0,0,0
set4,PyrSep_219,mix3,3,R2,35.682679463,25.100160719,70.342701549
set4,PyrSep_219,mix2,1,R3,42.58574548,50.43781133,118.4382492
set4,PyrSep_219,mix2,2,R3,52.40527967,59.02486999,112.6315332
set4,PyrSep_219,mix2,3,R3,19.84305927,15.6033511,78.6337978
set4,PyrSep_219,mix1,2,R4,90.35771329,54.31639803,60.11263019
set4,PyrSep_219,mix1,3,R4,73.00282932999998,69.02143421,94.54624547
set6,PyrSep_220,mix2,1,R1,23.79328128,18.62885244,78.29459176
set6,PyrSep_220,mix2,2,R1,10.65217461,2.857176997,26.82247619
set6,PyrSep_220,mix2,3,R1,4.332124793,0.801408669,18.49920553
set6,PyrSep_220,mix1,1,R2,60.926498492,25.618595989,42.048364214
set6,PyrSep_220,mix1,2,R2,4.739181916,3.688316316,77.826012623
set6,PyrSep_220,mix1,3,R2,31.72238819,21.729911317,68.50023771
set6,PyrSep_220,mix4,1,R3,33.25947451,12.42018544,37.34330029
set6,PyrSep_220,mix4,2,R3,92.13453681,32.29576402,35.05283158
set6,PyrSep_220,mix4,3,R3,93.58384808,44.52636655,47.57911484
set6,PyrSep_220,mix3,1,R4,12.73026666,8.269588755,64.96005919
set6,PyrSep_220,mix3,2,R4,0,0,0
set6,PyrSep_220,mix3,3,R4,6.231426002,6.001272076,96.30656088
set6,PyrSep_221,mix2,1,R1,77.13760621,83.14802158,107.7918096
set6,PyrSep_221,mix2,2,R1,51.91177533,28.5651368,55.02631459
set6,PyrSep_221,mix2,3,R1,62.0941658,20.18070254,32.50015887
set6,PyrSep_221,mix1,1,R2,82.413415333,45.246722766,54.902132843
set6,PyrSep_221,mix1,2,R2,18.362066041,17.519511261,95.411438026
set6,PyrSep_221,mix1,3,R2,24.84760746,9.05799637,36.454199402
set6,PyrSep_221,mix4,2,R3,97.21979798,57.27792803,58.91590933
set6,PyrSep_221,mix4,3,R3,55.78396829,19.81475109,35.52051189
set6,PyrSep_221,mix3,1,R4,14.4485563,6.80700197,47.11198703
set6,PyrSep_221,mix3,2,R4,55.96803679,39.63340276,70.81435232
set6,PyrSep_221,mix3,3,R4,31.17127906,23.83606263,76.46802874
set3,PyrSep_222,mix3,1,R1,25.77713857,30.66216076,118.9509871
set3,PyrSep_222,mix3,2,R1,38.09270504,21.35739457,56.06688878
set3,PyrSep_222,mix3,3,R1,0,0,0
set3,PyrSep_222,mix2,1,R2,0,0,0
set3,PyrSep_222,mix2,2,R2,0,0,0
set3,PyrSep_222,mix2,3,R2,0,0,0
set3,PyrSep_222,mix1,1,R3,33.53168057,2.827107312,8.43115306
set3,PyrSep_222,mix1,2,R3,50.77116065,14.49544941,28.5505575
set3,PyrSep_222,mix1,3,R3,0,0,0
set3,PyrSep_222,mix4,1,R4,20.17943176,13.3995765,66.40214977
set3,PyrSep_222,mix4,2,R4,0,0,0
set3,PyrSep_222,mix4,3,R4,0,0,0
set4,PyrSep_223,mix4,1,R1,94.81932865,26.28003435,27.71590426
set4,PyrSep_223,mix4,2,R1,46.03250845,5.399287193,11.7292917
set4,PyrSep_223,mix4,3,R1,40.95277661,6.230269132,15.2133009
set4,PyrSep_223,mix3,1,R2,20.829113254,5.755542774,27.632202601
set4,PyrSep_223,mix3,2,R2,34.034723999,4.688764373,13.776413679
set4,PyrSep_223,mix3,3,R2,27.655109707,4.372831635,15.812020567
set4,PyrSep_223,mix2,1,R3,4.959341356,0.676836744,13.6477144
set4,PyrSep_223,mix2,2,R3,5.262807377,1.146387034,21.78280435
set4,PyrSep_223,mix2,3,R3,28.9531397,3.648753187,12.6022712
set4,PyrSep_223,mix1,1,R4,38.25194531,5.741840946,15.01058548
set4,PyrSep_223,mix1,2,R4,51.46739015,6.794660209,13.20187441
set7,PyrSep_224,mix3,1,R1,0,0,0
set7,PyrSep_224,mix3,2,R1,4.428365453,0.935467703,21.12444676
set7,PyrSep_224,mix3,3,R1,0,0,0
set7,PyrSep_224,mix2,1,R2,12.640241937,4.848327535,38.356287476
set7,PyrSep_224,mix2,2,R2,0,0,0
set7,PyrSep_224,mix2,3,R2,0,0,0
set7,PyrSep_224,mix1,1,R3,32.24840268,13.40638458,41.5722438
set7,PyrSep_224,mix1,2,R3,35.68113736,11.7157566,32.83459403
set7,PyrSep_224,mix1,3,R3,20.50942383,11.05599488,53.9069014
set7,PyrSep_224,mix4,1,R4,42.48434013,17.69683524,41.65496082
set1,PyrSep_225,mix1,1,R1,11.1221011,4.770057539,42.88809729
set1,PyrSep_225,mix1,2,R1,12.02212773,4.021477582,33.45063097
set1,PyrSep_225,mix1,3,R1,0,0,0
set1,PyrSep_225,mix4,3,R2,40.392392551,40.246140016,99.637920594
set1,PyrSep_225,mix3,1,R3,0,0,0
set1,PyrSep_225,mix3,2,R3,7.472497789,1.445247786,19.34089279
set1,PyrSep_225,mix3,3,R3,0,0,0
set1,PyrSep_225,mix2,1,R4,6.678106951,5.2732752,78.96362306
set1,PyrSep_225,mix2,2,R4,10.99031272,3.298253515,30.010552
set1,PyrSep_225,mix2,3,R4,7.388896553,3.962108383,53.62246385
set3,PyrSep_226,mix3,1,R1,11.71268105,7.77535016,66.38403393
set3,PyrSep_226,mix3,2,R1,4.362758271,0.852071677,19.53057274
set3,PyrSep_226,mix3,3,R1,9.523717092,4.029081671,42.30576814
set3,PyrSep_226,mix2,1,R2,0,0,0
set3,PyrSep_226,mix2,2,R2,0,0,0
set3,PyrSep_226,mix2,3,R2,0,0,0
set3,PyrSep_226,mix1,1,R3,24.12550954,4.226243004,17.51773573
set3,PyrSep_226,mix1,2,R3,0,0,0
set3,PyrSep_226,mix1,3,R3,73.73418963,10.22649423,13.86940614
set3,PyrSep_226,mix4,1,R4,16.04983094,2.887905064,17.9933675
set3,PyrSep_226,mix4,2,R4,9.953290798,1.639879097,16.47574787
set3,PyrSep_226,mix4,3,R4,0,0,0
set1,PyrSep_227,mix1,1,R1,23.40271606,4.460876521,19.06136241
set1,PyrSep_227,mix1,2,R1,13.29603911,7.313288131,55.00350947
set1,PyrSep_227,mix4,1,R2,96.375892722,53.086631367,55.082894558
set1,PyrSep_227,mix4,2,R2,90.79962858,55.116721719,60.701483674
set1,PyrSep_227,mix4,3,R2,40.686735071,18.141843066,44.589085447
set1,PyrSep_227,mix3,1,R3,0,0,0
set1,PyrSep_227,mix3,2,R3,6.920458843,3.211361452,46.40388051
set1,PyrSep_227,mix3,3,R3,4.523165758,1.747944654,38.64427588
set1,PyrSep_227,mix2,1,R4,9.709758747,1.38394804,14.25316608
set1,PyrSep_227,mix2,2,R4,33.74487799,4.438303388,13.15252462
set1,PyrSep_227,mix2,3,R4,19.9725125,4.989031261,24.97948749
set8,PyrSep_228,mix4,1,R1,33.72734512,48.06974205,142.5245358
set8,PyrSep_228,mix4,2,R1,0,0,0
set8,PyrSep_228,mix4,3,R1,16.43861666,13.11433052,79.77757979
set8,PyrSep_228,mix3,1,R2,0,0,0
set8,PyrSep_228,mix3,2,R2,0,0,0
set8,PyrSep_228,mix3,3,R2,0,0,0
set8,PyrSep_228,mix2,2,R3,0,0,0
set8,PyrSep_228,mix2,3,R3,3.164737865,1.403559103,44.34993237
set8,PyrSep_228,mix1,1,R4,12.22616534,5.671444865,46.38776515
set8,PyrSep_228,mix1,2,R4,0,0,0
set8,PyrSep_228,mix1,3,R4,0,0,0
set3,PyrSep_271,mix3,1,R1,30.8155158,14.76541128,47.9155091
set3,PyrSep_271,mix3,2,R1,24.39009471,5.148349354,21.10836147
set3,PyrSep_271,mix3,3,R1,42.72760159,29.20259721,68.34597808
set3,PyrSep_271,mix2,1,R2,0,0,0
set3,PyrSep_271,mix2,2,R2,0,0,0
set3,PyrSep_271,mix2,3,R2,15.732631219,14.716422897,93.540760552
set3,PyrSep_271,mix1,1,R3,0,0,0
set3,PyrSep_271,mix1,2,R3,6.620616604,3.927734499,59.32581108
set3,PyrSep_271,mix1,3,R3,4.998897032,2.73483094,54.70868718
set3,PyrSep_271,mix4,1,R4,0,0,0
set3,PyrSep_271,mix4,2,R4,0,0,0
set3,PyrSep_271,mix4,3,R4,0,0,0
set1,PyrSep_273,mix1,1,R1,22.94191276,12.54830272,54.69597436
set1,PyrSep_273,mix1,2,R1,16.6083626,8.032196545,48.36236262
set1,PyrSep_273,mix1,3,R1,18.4411727,9.57894629,51.94326004
set1,PyrSep_273,mix4,1,R2,77.45880189,63.048556732,81.396245738
set1,PyrSep_273,mix4,2,R2,30.760797419,19.915979535,64.744678962
set1,PyrSep_273,mix4,3,R2,44.039675383,29.171062496,66.2381415
set1,PyrSep_273,mix3,1,R3,41.63210862,32.80992152,78.80917543
set1,PyrSep_273,mix3,2,R3,35.22488102,30.21344371,85.77301849
set1,PyrSep_273,mix3,3,R3,6.199735265,3.277655734,52.86767247
set1,PyrSep_273,mix2,1,R4,52.21244807,15.95998169,30.56738819
set1,PyrSep_273,mix2,2,R4,34.28438696,13.13232006,38.30408307
set1,PyrSep_273,mix2,3,R4,29.8646483,8.648943554,28.9604735
set3,PyrSep_274,mix3,1,R1,92.02781833,47.61532094,51.74013879
set3,PyrSep_274,mix3,2,R1,86.28460033999998,57.14671342,66.23048979
set3,PyrSep_274,mix3,3,R1,33.56310127,11.59625053,34.55059302
set3,PyrSep_274,mix2,1,R2,19.856748444,9.283182035,46.750766176
set3,PyrSep_274,mix2,2,R2,5.519468873,2.9767215,53.931303339
set3,PyrSep_274,mix1,1,R3,13.82251394,4.310406019,31.18395132
set3,PyrSep_274,mix1,2,R3,21.04810639,6.773515186,32.18111434
set3,PyrSep_274,mix4,1,R4,18.63315753,6.879161201,36.91892364
set3,PyrSep_274,mix4,2,R4,33.82208913,10.12602328,29.93908283
set1,PyrSep_275,mix1,1,R1,56.4746268,11.09877171,19.65266942
set1,PyrSep_275,mix1,2,R1,81.55131244,18.32457163,22.46998985
set1,PyrSep_275,mix1,3,R1,47.17628513,4.461914677,9.457961058
set1,PyrSep_275,mix4,1,R2,79.46534908399998,34.863177039,43.872175031
set1,PyrSep_275,mix4,2,R2,92.944415365,14.48232051,15.581700582
set1,PyrSep_275,mix4,3,R2,97.252949853,13.362931187,13.740386495
set1,PyrSep_275,mix3,1,R3,39.78509842,5.790980348,14.55565169
set1,PyrSep_275,mix3,2,R3,80.50171328,7.458577181,9.265116079
