X.Intercept. RepR2 RepR3 RepR4 Leaf IWB74799
37.08431 -12.72619 -18.17825 -9.990192 0.2235157 -23.96193
35.79019 -8.261622 -19.49802 -8.283064 -0.5788769 -21.22867
36.23896 -10.57324 -17.19458 -5.170828 -0.9471886 -22.33984
36.00301 -9.692309 -16.19107 -5.52405 -0.7784364 -21.58652
35.28432 -7.266684 -14.17432 -3.569685 -1.133781 -20.47572
35.18846 -7.219312 -13.2737 -6.595913 -0.2784779 -19.94211
36.643 -11.44884 -20.03704 -8.437053 -0.2450969 -18.82413
36.37448 -10.92109 -18.24013 -7.710156 -0.9686019 -19.10216
36.10132 -8.786424 -18.48806 -7.630824 -1.373186 -17.10551
35.47869 -8.559048 -16.93664 -7.138497 -1.03408 -17.86708
37.13034 -12.90525 -17.50922 -8.968453 -1.19026 -17.83961
36.27264 -12.56823 -18.83058 -12.02508 -0.5268818 -17.50264
32.20015 -11.57463 -17.83117 -11.35432 -0.7311256 -16.26193
33.07034 -13.44915 -20.23178 -11.86149 -0.4877728 -16.09896
33.26244 -15.43215 -18.34646 -10.46144 -1.082244 -15.75719
33.7363 -12.99518 -19.8264 -11.02639 -1.332873 -14.58971
33.42728 -15.60061 -17.74071 -9.187467 -1.958237 -15.45745
34.3848 -10.52727 -18.35773 -7.822297 -2.176938 -15.34682
32.30901 -9.582325 -17.60326 -5.68818 -0.9042026 -18.78909
31.66387 -12.04119 -20.57342 -9.282105 -0.04143397 -18.32065
33.27979 -12.8454 -18.06979 -10.53013 -0.9066467 -17.41958
30.99341 -9.091159 -17.24511 -7.047861 -1.915961 -17.13431
30.40291 -7.754638 -13.20718 -5.983956 -1.964514 -19.50661
27.71004 -8.824223 -15.99819 -7.754386 -0.5521936 -19.42213
27.87455 -9.808391 -17.8239 -7.132433 -1.101346 -18.60175
26.95782 -10.84347 -20.30054 -9.997759 -0.9294195 -17.38933
26.07433 -8.277988 -15.98769 -8.897041 -1.141141 -17.48542
24.72772 -8.49753 -15.53467 -8.133593 -1.207647 -15.82778
24.11843 -7.337447 -12.97896 -4.989485 -1.973763 -16.18632
24.26768 -6.322307 -13.28986 -3.947999 -1.080551 -18.43435
22.69167 -6.52261 -16.16972 -4.436909 -0.08310688 -18.51863
21.42708 -7.222583 -16.44529 -7.025721 -0.2508249 -17.81376
18.90381 -9.173072 -16.26564 -2.488083 -0.01875564 -18.63803
18.46051 -7.633887 -13.71823 -4.779738 0.05283512 -20.49883
19.28188 -7.400751 -14.20448 -5.726192 -0.7812711 -18.00982
18.8994 -8.589648 -16.37712 -6.054763 0.02723384 -18.88931
16.10108 -8.35369 -12.57357 -7.518258 -0.7556649 -17.70136
